INFO |2018-07-12 10:36:39.103 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is 1.2.3,the terminalVersion is 1.4.153
INFO |2018-07-12 10:36:39.103 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='0002000120171120', command='deny', data={}}
INFO |2018-07-12 10:36:39.103 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:39.104 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:39.104 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:42.657 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ==================recevive GetUpdatedInformation begin:terminalAddress:0002000120130101=============================
INFO |2018-07-12 10:36:42.657 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- receive updatedInfo:RgmPacket{lineList=null, terminalAddress='0002000120130101', command='getUpdatedInformation', data={0&getUpdatedInformation={version=1.2.10, terminalTime=18/7/12 10:36:39 4}}}
INFO |2018-07-12 10:36:42.661 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is 1.2.9,the terminalVersion is 1.2.10
INFO |2018-07-12 10:36:42.662 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='0002000120130101', command='deny', data={}}
INFO |2018-07-12 10:36:42.662 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:42.662 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:42.662 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:42.785 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ==================recevive GetUpdatedInformation begin:terminalAddress:000200010001012F=============================
INFO |2018-07-12 10:36:42.786 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- receive updatedInfo:RgmPacket{lineList=null, terminalAddress='000200010001012F', command='getUpdatedInformation', data={0&getUpdatedInformation={version=1.2.2, terminalTime=18/7/12 10:29:46 4}}}
INFO |2018-07-12 10:36:42.818 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is 1.2.2,the terminalVersion is 1.2.2
INFO |2018-07-12 10:36:42.818 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='000200010001012F', command='deny', data={}}
INFO |2018-07-12 10:36:42.819 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:42.819 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:42.819 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
